Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of trees
6804,149,2.0811,0.5888,0.0,0.0604,10
6328,149,2.0594,0.5478,0.0,0.0531,10
6815,149,2.0732,0.6283,0.0,0.0799,10
6413,149,2.0142,0.5817,0.0,0.0496,10
6298,149,2.059,0.5519,0.0,0.0573,10
6280,149,2.0232,0.6105,0.0,0.049,10
6815,149,2.0538,0.6105,0.0,0.0548,10
6731,149,2.0632,0.6053,0.0,0.0572,10
6750,149,2.0668,0.633,0.0,0.0556,10
6596,149,2.0885,0.5852,0.0,0.0505,10
6370,149,2.0318,0.5922,0.0,0.0513,10
6484,149,2.0362,0.5672,0.0,0.0563,10
6686,149,2.0503,0.6057,0.0,0.0636,10
6686,149,2.0662,0.5631,0.0,0.0515,10
6363,149,2.0678,0.5671,0.0,0.0589,10
6740,149,2.0709,0.6118,0.0,0.0501,10
6711,149,2.0489,0.5809,0.0,0.0502,10
6747,149,2.0404,0.6026,0.0,0.0539,10
6598,149,2.0547,0.6142,0.0,0.0526,10
6453,149,2.0396,0.5736,0.0,0.0523,10
6726,149,2.0765,0.5923,0.0,0.0511,10
6461,149,2.0563,0.5937,0.0,0.0553,10
6619,149,2.0904,0.5729,0.0,0.052,10
6477,149,2.0872,0.5882,0.0,0.0664,10
6857,149,2.0881,0.6187,0.0,0.0604,10
6301,149,2.0351,0.5703,0.0,0.0492,10
6849,149,2.0401,0.6086,0.0,0.0535,10
6193,149,2.024,0.6056,0.0,0.0617,10
6339,149,2.0412,0.6323,0.0,0.0527,10
6741,149,2.0345,0.6146,0.0,0.0526,10
6241,149,2.0057,0.5468,0.0,0.0557,10
6735,149,2.052,0.628,0.0,0.0546,10
6681,149,2.0661,0.5796,0.0,0.0651,10
6575,149,2.0643,0.5889,0.0,0.0547,10
6578,149,2.03,0.6016,0.0,0.0535,10
6266,149,2.0152,0.5976,0.0,0.0806,10
6466,149,2.0453,0.6154,0.0,0.0552,10
6809,149,2.0882,0.5543,0.0,0.0615,10
6346,149,2.0121,0.5845,0.0,0.0535,10
7381,149,2.0882,0.6181,0.0,0.0606,10
6827,149,2.028,0.6476,0.0,0.0536,10
6808,149,2.0373,0.5764,0.0,0.0531,10
6832,149,2.08,0.5542,0.0,0.0584,10
6601,149,2.0466,0.6022,0.0,0.0603,10
6847,149,2.0318,0.6125,0.0,0.0481,10
6616,149,2.0734,0.6091,0.0,0.0487,10
6792,149,2.0198,0.6226,0.0,0.0611,10
6524,149,2.048,0.5956,0.0,0.0575,10
6657,149,2.0385,0.6031,0.0,0.0607,10
6486,149,2.0503,0.6145,0.0,0.0602,10
6665,149,2.0564,0.6022,0.0,0.0546,10
6312,149,2.0115,0.5806,0.0,0.0477,10
6811,149,2.0612,0.6242,0.0,0.0482,10
6624,149,2.0254,0.6185,0.0,0.0497,10
6496,149,2.0517,0.5965,0.0,0.0542,10
6702,149,2.0953,0.5386,0.0,0.0658,10
6316,149,2.0079,0.5873,0.0,0.0493,10
6454,149,2.0554,0.5599,0.0,0.0544,10
6475,149,2.0914,0.5467,0.0,0.0636,10
6362,149,2.0597,0.5864,0.0,0.0596,10
6776,149,2.0921,0.6453,0.0,0.0556,10
6223,149,2.0167,0.636,0.0,0.0514,10
6223,149,2.0391,0.5892,0.0,0.0486,10
