number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
1800,24.8963,0.6713,0.2612,0.0519,0.9999,30.2,1082,ranking,1000,avltree,rbf
1600,20.9883,0.6623,0.2451,0.048,0.9999,27.7,1082,ranking,1000,avltree,rbf
1900,24.1022,0.6455,0.2627,0.0554,0.9999,28.6,1082,ranking,1000,avltree,rbf
2000,24.3522,0.6538,0.271,0.0585,0.9999,28.9,1082,ranking,1000,avltree,rbf
1700,23.935,0.6264,0.2648,0.05,0.9999,28.0,1082,ranking,1000,avltree,rbf
2100,20.5684,0.6358,0.236,0.0619,0.9999,27.0,1082,ranking,1000,avltree,rbf
2400,21.0785,0.6404,0.237,0.0695,1.0,27.5,1082,ranking,1000,avltree,rbf
2500,20.6535,0.6554,0.2448,0.0713,0.9999,27.9,1082,ranking,1000,avltree,rbf
2300,23.2371,0.6615,0.2475,0.0673,0.9999,28.3,1082,ranking,1000,avltree,rbf
2200,21.255,0.6128,0.2384,0.0616,0.9999,25.4,1082,ranking,1000,avltree,rbf
2600,23.851,0.6463,0.2562,0.0739,0.9999,29.2,1082,ranking,1000,avltree,rbf
2900,24.2822,0.6552,0.2556,0.0826,0.9999,28.6,1082,ranking,1000,avltree,rbf
3000,24.1145,0.6662,0.2558,0.086,0.9999,28.4,1082,ranking,1000,avltree,rbf
2700,22.6353,0.6428,0.2598,0.075,0.9999,27.6,1082,ranking,1000,avltree,rbf
2800,25.2342,0.6489,0.2666,0.0819,0.9999,28.4,1082,ranking,1000,avltree,rbf
3100,23.8651,0.6399,0.2504,0.0895,0.9999,29.5,1082,ranking,1000,avltree,rbf
3400,23.7972,0.6389,0.2531,0.1002,0.9999,29.1,1082,ranking,1000,avltree,rbf
3500,20.638,0.6333,0.2359,0.0914,0.9999,25.8,1082,ranking,1000,avltree,rbf
3300,24.4548,0.6621,0.2561,0.0922,0.9999,28.4,1082,ranking,1000,avltree,rbf
3200,21.0912,0.6066,0.2401,0.0868,0.9999,26.7,1082,ranking,1000,avltree,rbf
3600,25.8335,0.6697,0.2679,0.1029,0.9999,28.1,1082,ranking,1000,avltree,rbf
3900,24.6548,0.663,0.2619,0.1092,0.9999,29.6,1082,ranking,1000,avltree,rbf
4000,24.3586,0.6778,0.2689,0.116,0.9999,28.4,1082,ranking,1000,avltree,rbf
3800,24.4631,0.6324,0.2482,0.108,1.0,28.9,1082,ranking,1000,avltree,rbf
3700,21.309,0.6473,0.2251,0.1,1.0,26.2,1082,ranking,1000,avltree,rbf
4100,25.9946,0.6423,0.2659,0.1224,0.9999,29.8,1082,ranking,1000,avltree,rbf
4400,25.1232,0.6455,0.2704,0.1229,0.9999,29.3,1082,ranking,1000,avltree,rbf
4500,24.4275,0.6517,0.2513,0.1289,1.0,28.1,1082,ranking,1000,avltree,rbf
4200,24.125,0.654,0.2544,0.1239,0.9999,29.0,1082,ranking,1000,avltree,rbf
4300,24.8306,0.6159,0.2598,0.129,0.9999,28.4,1082,ranking,1000,avltree,rbf
4600,22.7552,0.6632,0.2335,0.1293,0.9999,26.9,1082,ranking,1000,avltree,rbf
4900,21.2304,0.6428,0.2433,0.1371,0.9999,26.0,1082,ranking,1000,avltree,rbf
5000,20.2837,0.6642,0.2222,0.1297,0.9999,25.0,1082,ranking,1000,avltree,rbf
4800,24.1417,0.64,0.2618,0.1299,0.9999,28.4,1082,ranking,1000,avltree,rbf
4700,25.5811,0.6424,0.2746,0.1303,0.9999,28.3,1082,ranking,1000,avltree,rbf
5100,26.7923,0.6566,0.2684,0.1448,1.0,30.1,1082,ranking,1000,avltree,rbf
5400,23.8319,0.6506,0.2484,0.1557,1.0,28.3,1082,ranking,1000,avltree,rbf
